type,instruction,input,output
follow_up_message,Generate follow-up message for pending task,"{""task"": ""Upload final report"", ""assignedTo"": ""Archana R"", ""status"": ""pending"", ""pendingDays"": 6}","The final report upload is pending for over six days. Please share the current status or any blockers."
follow_up_message,Generate follow-up message for pending task,"{""task"": ""Complete code review"", ""assignedTo"": ""Rajesh Kumar"", ""status"": ""pending"", ""pendingDays"": 3}","Code review has been pending for 3 days. Could you please provide an update on the progress?"
follow_up_message,Generate follow-up message for pending task,"{""task"": ""Submit expense report"", ""assignedTo"": ""Priya Sharma"", ""status"": ""pending"", ""pendingDays"": 10}","Your expense report submission is overdue by 10 days. This requires immediate attention to process reimbursements."
follow_up_message,Generate follow-up message for pending task,"{""task"": ""Update project documentation"", ""assignedTo"": ""Vikram Singh"", ""status"": ""pending"", ""pendingDays"": 1}","Reminder: Project documentation update is pending since yesterday. Please complete it at your earliest convenience."
follow_up_message,Generate follow-up message for pending task,"{""task"": ""Team performance review"", ""assignedTo"": ""Meena Patel"", ""status"": ""pending"", ""pendingDays"": 15}","Team performance review is significantly overdue (15 days). This is critical for quarterly assessments. Please prioritize completion."
risk_analysis,Analyze HRMS state and summarize risks,"{""employee"": ""Archana R"", ""tasks"": [{""title"": ""API integration"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-01""}, {""title"": ""Dashboard UI"", ""status"": ""pending"", ""dueDate"": ""2026-01-28""}], ""today"": ""2026-02-06""}","Dashboard UI task is overdue and requires immediate attention. API integration is at risk of delay."
risk_analysis,Analyze HRMS state and summarize risks,"{""employee"": ""Rajesh Kumar"", ""tasks"": [{""title"": ""Database migration"", ""status"": ""pending"", ""dueDate"": ""2026-02-08""}, {""title"": ""Security audit"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-10""}, {""title"": ""Performance testing"", ""status"": ""completed"", ""dueDate"": ""2026-02-05""}], ""today"": ""2026-02-06""}","Performance testing completed on time. Database migration due in 2 days - status update needed. Security audit is progressing as scheduled."
risk_analysis,Analyze HRMS state and summarize risks,"{""employee"": ""Priya Sharma"", ""tasks"": [{""title"": ""Client presentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-05""}, {""title"": ""Budget approval"", ""status"": ""pending"", ""dueDate"": ""2026-02-04""}, {""title"": ""Resource allocation"", ""status"": ""pending"", ""dueDate"": ""2026-02-03""}], ""today"": ""2026-02-06""}","Critical: All three tasks are overdue. Resource allocation is 3 days overdue, budget approval 2 days overdue, and client presentation 1 day overdue. Immediate action required."
risk_analysis,Analyze HRMS state and summarize risks,"{""employee"": ""Vikram Singh"", ""tasks"": [{""title"": ""Module development"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-15""}, {""title"": ""Unit testing"", ""status"": ""not-started"", ""dueDate"": ""2026-02-20""}], ""today"": ""2026-02-06""}","All tasks are on track. Module development is progressing well with 9 days remaining. Unit testing is scheduled appropriately."
risk_analysis,Analyze HRMS state and summarize risks,"{""employee"": ""Meena Patel"", ""tasks"": [], ""today"": ""2026-02-06""}","No active tasks assigned. Consider reviewing workload distribution."
policy_response,Respond according to HRMS policy,Can you extend my task deadline?,Deadline changes must be handled by the project manager through the standard workflow.
policy_response,Respond according to HRMS policy,I want to apply for leave tomorrow,"Leave applications must be submitted at least 3 days in advance through the leave management portal, unless it's an emergency leave."
policy_response,Respond according to HRMS policy,How do I claim overtime?,"Overtime claims should be submitted through the attendance module with manager approval. Ensure you log actual hours worked beyond regular schedule."
policy_response,Respond according to HRMS policy,Can I work from home permanently?,"Work from home policies vary by role and department. Please discuss with your reporting manager and submit a formal request through HR for evaluation."
policy_response,Respond according to HRMS policy,I forgot to mark attendance yesterday,"Please submit an attendance regularization request through the HRMS portal with appropriate justification. Your manager will need to approve it."
policy_response,Respond according to HRMS policy,Where can I access my payslips?,"Payslips are available in the 'Compensation' section of your HRMS portal. They are typically uploaded by the 5th of each month."
policy_response,Respond according to HRMS policy,Can I reassign my task to someone else?,"Task reassignment requires manager approval. Please discuss with your team lead and use the task management module to initiate the transfer."
policy_response,Respond according to HRMS policy,I need access to the production server,"Production server access requires IT security approval. Submit an access request through the IT service portal with business justification."
project_summary,Generate daily project summary,"{""project"": ""PSS Portal"", ""tasks"": [{""title"": ""UI Design"", ""status"": ""completed""}, {""title"": ""API Integration"", ""status"": ""in-progress""}]}","UI design is completed. API integration is currently in progress."
project_summary,Generate daily project summary,"{""project"": ""Mobile App Redesign"", ""tasks"": [{""title"": ""User Research"", ""status"": ""completed""}, {""title"": ""Wireframing"", ""status"": ""completed""}, {""title"": ""Prototype Development"", ""status"": ""in-progress""}, {""title"": ""User Testing"", ""status"": ""pending""}]}","User research and wireframing phases are completed. Prototype development is currently underway. User testing is scheduled to begin next."
project_summary,Generate daily project summary,"{""project"": ""CRM Implementation"", ""tasks"": [{""title"": ""Requirements Gathering"", ""status"": ""completed""}, {""title"": ""Vendor Selection"", ""status"": ""completed""}, {""title"": ""Data Migration"", ""status"": ""in-progress""}, {""title"": ""Training Sessions"", ""status"": ""pending""}, {""title"": ""Go-Live Preparation"", ""status"": ""pending""}]}","Requirements gathering and vendor selection completed successfully. Data migration is in progress. Training sessions and go-live preparation are pending."
project_summary,Generate daily project summary,"{""project"": ""Security Audit 2026"", ""tasks"": [{""title"": ""Vulnerability Scanning"", ""status"": ""completed""}, {""title"": ""Penetration Testing"", ""status"": ""in-progress""}, {""title"": ""Report Generation"", ""status"": ""not-started""}]}","Vulnerability scanning has been completed. Penetration testing is currently in progress. Report generation will commence after testing completion."
project_summary,Generate daily project summary,"{""project"": ""E-commerce Platform"", ""tasks"": [{""title"": ""Payment Gateway Integration"", ""status"": ""blocked""}, {""title"": ""Product Catalog Setup"", ""status"": ""in-progress""}, {""title"": ""Checkout Flow"", ""status"": ""pending""}]}","Product catalog setup is progressing. Payment gateway integration is currently blocked and requires attention. Checkout flow development is pending integration completion."
